roomid,roomname,surface,wall-length,wall-height,area,level,boundary
6,Slaapkamer2,facade-E,,3.0,,First,vertical-outside
3,Slaapkamer1,facade-E,,3.0,,First,vertical-outside
8,OKeuken,facade-N,,3.0,,Ground,vertical-outside
1,Dressing,facade-N,,3.0,,First,vertical-outside
7,Berging1,facade-N,,3.0,,Ground,vertical-outside
2,Badkamer,facade-N,,3.0,,First,vertical-outside
9,Woonkamer,facade-N,,3.0,,Ground,vertical-outside
3,Slaapkamer1,facade-N,,3.0,,First,vertical-outside
9,Woonkamer,facade-S,,3.0,,Ground,vertical-outside
6,Slaapkamer2,facade-S,,3.0,,First,vertical-outside
11,Garage,facade-S,,3.0,,Ground,vertical-outside
13,Inkomhal,facade-S,,3.0,,Ground,vertical-outside
5,Slaapkamer3,facade-S,,3.0,,First,vertical-outside
5,Slaapkamer3,facade-W,,3.0,,First,vertical-outside
11,Garage,facade-W,,3.0,,Ground,vertical-outside
1,Dressing,facade-W,,3.0,,First,vertical-outside
10,Berging2,facade-W,,3.0,,Ground,vertical-outside
7,Berging1,facade-W,,3.0,,Ground,vertical-outside
7,Berging1,facade-ground,,,,Ground,zero-pressure
9,Woonkamer,facade-ground,,,,Ground,zero-pressure
13,Inkomhal,facade-ground,,,,Ground,zero-pressure
8,OKeuken,facade-ground,,,,Ground,zero-pressure
11,Garage,facade-ground,,,,Ground,zero-pressure
12,WC,facade-ground,,,,Ground,zero-pressure
10,Berging2,facade-ground,,,,Ground,zero-pressure
5,Slaapkamer3,facade-roof,,,,First,flat-outside
6,Slaapkamer2,facade-roof,,,,First,flat-outside
3,Slaapkamer1,facade-roof,,,,First,flat-outside
2,Badkamer,facade-roof,,,,First,flat-outside
13,Inkomhal,facade-roof,,,,Ground,flat-outside
1,Dressing,facade-roof,,,,First,flat-outside
4,WC2,facade-roof,,,,First,flat-outside
6,Slaapkamer2,facade-slopedroof,,,,First,sloped-outside
1,Dressing,facade-slopedroof,,,,First,sloped-outside
13,Inkomhal,facade-slopedroof,,,,Ground,sloped-outside
5,Slaapkamer3,facade-slopedroof,,,,First,sloped-outside
2,Badkamer,facade-slopedroof,,,,First,sloped-outside
3,Slaapkamer1,facade-slopedroof,,,,First,sloped-outside
9,Woonkamer,floor-area,,,,Ground,-
2,Badkamer,floor-area,,,,First,-
13,Inkomhal,floor-area,,,,Ground,-
12,WC,floor-area,,,,Ground,-
3,Slaapkamer1,floor-area,,,,First,-
4,WC2,floor-area,,,,First,-
11,Garage,floor-area,,,,Ground,-
5,Slaapkamer3,floor-area,,,,First,-
10,Berging2,floor-area,,,,Ground,-
6,Slaapkamer2,floor-area,,,,First,-
7,Berging1,floor-area,,,,Ground,-
8,OKeuken,floor-area,,,,Ground,-
1,Dressing,floor-area,,,,First,-
