roomid,roomname,surface,wall-length,wall-height,area,boundary,level
6,Slaapkamer2,facade-E,4.65,2.75,,vertical-outside,First
3,Slaapkamer1,facade-E,3.8,2.75,,vertical-outside,First
8,OKeuken,facade-N,4.6,3,,vertical-outside,Ground
1,Dressing,facade-N,0,0,,vertical-outside,First
7,Berging1,facade-N,2.8,3,,vertical-outside,Ground
2,Badkamer,facade-N,0,0,,vertical-outside,First
9,Woonkamer,facade-N,5.6,3,,vertical-outside,Ground
3,Slaapkamer1,facade-N,0,0,,vertical-outside,First
9,Woonkamer,facade-S,5.6,3,,vertical-outside,Ground
6,Slaapkamer2,facade-S,0,0,,vertical-outside,First
11,Garage,facade-S,4.2,3,,vertical-outside,Ground
13,Inkomhal,facade-S,3.2,7,,vertical-outside,Ground
5,Slaapkamer3,facade-S,0,0,,vertical-outside,First
5,Slaapkamer3,facade-W,5.7,2.75,,vertical-outside,First
11,Garage,facade-W,6.55,3,,vertical-outside,Ground
1,Dressing,facade-W,2.9,2.75,,vertical-outside,First
10,Berging2,facade-W,1.7,3,,vertical-outside,Ground
7,Berging1,facade-W,2.75,3,,vertical-outside,Ground
7,Berging1,facade-ground,,,7.7,zero-pressure,Ground
9,Woonkamer,facade-ground,,,61.6,zero-pressure,Ground
13,Inkomhal,facade-ground,,,19.46,zero-pressure,Ground
8,OKeuken,facade-ground,,,20.47,zero-pressure,Ground
11,Garage,facade-ground,,,27.47,zero-pressure,Ground
12,WC,facade-ground,,,1.5,zero-pressure,Ground
10,Berging2,facade-ground,,,4.76,zero-pressure,Ground
5,Slaapkamer3,facade-roof,,,15.6,zero-pressure,First
6,Slaapkamer2,facade-roof,,,19.14,zero-pressure,First
3,Slaapkamer1,facade-roof,,,15.08,zero-pressure,First
2,Badkamer,facade-roof,,,11.57,zero-pressure,First
13,Inkomhal,facade-roof,,,16.541,flat-outside,Ground
1,Dressing,facade-roof,,,5.5,zero-pressure,First
4,WC2,facade-roof,,,1.5,zero-pressure,First
6,Slaapkamer2,facade-slopedroof,5.8,3.8,22.04,sloped-outside,First
1,Dressing,facade-slopedroof,2.75,3.8,10.45,sloped-outside,First
13,Inkomhal,facade-slopedroof,3.2,3.8,12.16,sloped-outside,Ground
5,Slaapkamer3,facade-slopedroof,4,3.8,15.2,sloped-outside,First
2,Badkamer,facade-slopedroof,4.45,3.8,16.91,sloped-outside,First
3,Slaapkamer1,facade-slopedroof,5.8,3.8,22.04,sloped-outside,First
9,Woonkamer,floor-area,,,56.16,-,Ground
2,Badkamer,floor-area,,,11.394,-,First
13,Inkomhal,floor-area,,,16.541,-,Ground
12,WC,floor-area,,,1.275,-,Ground
3,Slaapkamer1,floor-area,,,19.926,-,First
4,WC2,floor-area,,,1.275,-,First
11,Garage,floor-area,,,19.055,-,Ground
5,Slaapkamer3,floor-area,,,19.055,-,First
10,Berging2,floor-area,,,3.84,-,Ground
6,Slaapkamer2,floor-area,,,18.4285,-,First
7,Berging1,floor-area,,,5.76,-,Ground
8,OKeuken,floor-area,,,17.712,-,Ground
1,Dressing,floor-area,,,8.136,-,First
