roomid,roomname,surface,wall-length,wall-height,area,boundary,level
10,Keuken,facade-N,,3.0,,vertical-outside,Ground
9,Wasplaats,facade-N,,3.0,,vertical-outside,Ground
1,Berging,facade-N,,3.0,,vertical-outside,Second
6,Slaapkamer1,facade-N,,3.0,,vertical-outside,First
5,Badkamer,facade-N,,3.0,,vertical-outside,First
3,Slaapkamer3,facade-N,,3.0,,vertical-outside,Second
8,Bureau,facade-S,,3.0,,vertical-outside,First
7,Nachthal,facade-S,,3.0,,vertical-outside,First
13,Inkomhal,facade-S,,3.0,,vertical-outside,Ground
12,Woonkamer,facade-S,,3.0,,vertical-outside,Ground
2,Nachthal2,facade-S,,3.0,,vertical-outside,Second
4,Slaapkamer2,facade-S,,3.0,,vertical-outside,Second
12,Woonkamer,facade-ground,,,,zero-pressure,Ground
9,Wasplaats,facade-ground,,,,zero-pressure,Ground
11,WC,facade-ground,,,,zero-pressure,Ground
13,Inkomhal,facade-ground,,,,zero-pressure,Ground
10,Keuken,facade-ground,,,,zero-pressure,Ground
4,Slaapkamer2,facade-roof,,,,flat-outside,Second
2,Nachthal2,facade-roof,,,,flat-outside,Second
1,Berging,facade-roof,,,,flat-outside,Second
3,Slaapkamer3,facade-roof,,,,flat-outside,Second
12,Woonkamer,floor-area,,,,-,Ground
11,WC,floor-area,,,,-,Ground
13,Inkomhal,floor-area,,,,-,Ground
1,Berging,floor-area,,,,-,Second
9,Wasplaats,floor-area,,,,-,Ground
8,Bureau,floor-area,,,,-,First
6,Slaapkamer1,floor-area,,,,-,First
5,Badkamer,floor-area,,,,-,First
4,Slaapkamer2,floor-area,,,,-,Second
3,Slaapkamer3,floor-area,,,,-,Second
2,Nachthal2,floor-area,,,,-,Second
10,Keuken,floor-area,,,,-,Ground
7,Nachthal,floor-area,,,,-,First
