roomid,roomname,surface,wall-length,wall-height,area,boundary,level
10,Keuken,facade-N,5,3,,vertical-outside,Ground
9,Wasplaats,facade-N,2,3,,vertical-outside,Ground
1,Berging,facade-N,2,2,,vertical-outside,Second
6,Slaapkamer1,facade-N,5,3,,vertical-outside,First
5,Badkamer,facade-N,2,3,,vertical-outside,First
3,Slaapkamer3,facade-N,5,2,,vertical-outside,Second
8,Bureau,facade-S,5,3,,vertical-outside,First
7,Nachthal,facade-S,2,3,,vertical-outside,First
13,Inkomhal,facade-S,2,3,,vertical-outside,Ground
12,Woonkamer,facade-S,5,3,,vertical-outside,Ground
2,Nachthal2,facade-S,2,2,,vertical-outside,Second
4,Slaapkamer2,facade-S,5,2,,vertical-outside,Second
12,Woonkamer,facade-ground,-,-,27.5,zero-pressure,Ground
9,Wasplaats,facade-ground,-,-,5.796,zero-pressure,Ground
11,WC,facade-ground,-,-,1.62,zero-pressure,Ground
13,Inkomhal,facade-ground,-,-,8.856,zero-pressure,Ground
10,Keuken,facade-ground,-,-,19.866,zero-pressure,Ground
4,Slaapkamer2,facade-roof,-,-,22.5,flat-outside,Second
2,Nachthal2,facade-roof,-,-,13,flat-outside,Second
1,Berging,facade-roof,-,-,7,flat-outside,Second
3,Slaapkamer3,facade-roof,-,-,27.5,flat-outside,Second
12,Woonkamer,floor-area,-,-,22.638,-,Ground
11,WC,floor-area,-,-,1.62,-,Ground
13,Inkomhal,floor-area,-,-,12.276,-,Ground
1,Berging,floor-area,-,-,5.4,-,Second
9,Wasplaats,floor-area,-,-,5.796,-,Ground
8,Bureau,floor-area,-,-,19.866,-,First
6,Slaapkamer1,floor-area,-,-,22.638,-,First
5,Badkamer,floor-area,-,-,5.4,-,First
4,Slaapkamer2,floor-area,-,-,19.866,-,Second
3,Slaapkamer3,floor-area,-,-,22.638,-,Second
2,Nachthal2,floor-area,-,-,11.16,-,Second
10,Keuken,floor-area,-,-,19.866,-,Ground
7,Nachthal,floor-area,-,-,11.16,-,First
